regiao,modo,mapa,pick,picks,vitorias,win_rate
EA,hotZone,Dueling Beetles,CHARLIE,2,0,0.0%
EA,hotZone,Dueling Beetles,CLANCY,1,1,100.0%
EA,hotZone,Dueling Beetles,COLETTE,5,0,0.0%
EA,hotZone,Dueling Beetles,EDGAR,4,0,0.0%
EA,hotZone,Dueling Beetles,EMZ,4,3,75.0%
EA,hotZone,Dueling Beetles,FANG,1,1,100.0%
EA,hotZone,Dueling Beetles,FINX,1,1,100.0%
EA,hotZone,Dueling Beetles,GLOWY,3,3,100.0%
EA,hotZone,Dueling Beetles,GRAY,1,0,0.0%
EA,hotZone,Dueling Beetles,JANET,3,0,0.0%
EA,hotZone,Dueling Beetles,KAZE,1,1,100.0%
EA,hotZone,Dueling Beetles,KENJI,2,0,0.0%
EA,hotZone,Dueling Beetles,LEON,3,1,33.3%
EA,hotZone,Dueling Beetles,LUMI,4,3,75.0%
EA,hotZone,Dueling Beetles,MEEPLE,2,1,50.0%
EA,hotZone,Dueling Beetles,MEG,3,0,0.0%
EA,hotZone,Dueling Beetles,MINA,5,4,80.0%
EA,hotZone,Dueling Beetles,MORTIS,1,1,100.0%
EA,hotZone,Dueling Beetles,NAJIA,2,0,0.0%
EA,hotZone,Dueling Beetles,OTIS,1,1,100.0%
EA,hotZone,Dueling Beetles,PIERCE,1,1,100.0%
EA,hotZone,Dueling Beetles,POCO,4,4,100.0%
EA,hotZone,Dueling Beetles,RUFFS,3,0,0.0%
EA,hotZone,Dueling Beetles,SIRIUS,1,1,100.0%
EA,hotZone,Dueling Beetles,STU,5,4,80.0%
EA,hotZone,Dueling Beetles,ZIGGY,3,3,100.0%
EA,hotZone,Open Business,CHESTER,3,1,33.3%
EA,hotZone,Open Business,COLETTE,1,0,0.0%
EA,hotZone,Open Business,CROW,2,1,50.0%
EA,hotZone,Open Business,DRACO,3,0,0.0%
EA,hotZone,Open Business,FINX,2,1,50.0%
EA,hotZone,Open Business,GRAY,1,1,100.0%
EA,hotZone,Open Business,GRIFF,1,1,100.0%
EA,hotZone,Open Business,HANK,1,0,0.0%
EA,hotZone,Open Business,KENJI,3,2,66.7%
EA,hotZone,Open Business,KIT,1,1,100.0%
EA,hotZone,Open Business,LEON,3,1,33.3%
EA,hotZone,Open Business,LOU,1,0,0.0%
EA,hotZone,Open Business,LUMI,2,1,50.0%
EA,hotZone,Open Business,MEEPLE,1,1,100.0%
EA,hotZone,Open Business,MEG,1,1,100.0%
EA,hotZone,Open Business,MINA,5,1,20.0%
EA,hotZone,Open Business,MORTIS,2,2,100.0%
EA,hotZone,Open Business,NITA,1,1,100.0%
EA,hotZone,Open Business,PENNY,1,1,100.0%
EA,hotZone,Open Business,PIERCE,4,3,75.0%
EA,hotZone,Open Business,POCO,1,1,100.0%
EA,hotZone,Open Business,RUFFS,2,1,50.0%
EA,hotZone,Open Business,SIRIUS,2,1,50.0%
EA,hotZone,Open Business,STU,4,1,25.0%
EA,hotZone,Ring of Fire,ALLI,1,1,100.0%
EA,hotZone,Ring of Fire,AMBER,2,0,0.0%
EA,hotZone,Ring of Fire,BERRY,1,1,100.0%
EA,hotZone,Ring of Fire,BO,2,2,100.0%
EA,hotZone,Ring of Fire,BYRON,1,0,0.0%
EA,hotZone,Ring of Fire,CHESTER,1,1,100.0%
EA,hotZone,Ring of Fire,COLETTE,3,1,33.3%
EA,hotZone,Ring of Fire,CROW,1,1,100.0%
EA,hotZone,Ring of Fire,DAMIAN,2,1,50.0%
EA,hotZone,Ring of Fire,DOUG,1,1,100.0%
EA,hotZone,Ring of Fire,DRACO,3,2,66.7%
EA,hotZone,Ring of Fire,EDGAR,1,1,100.0%
EA,hotZone,Ring of Fire,FINX,9,4,44.4%
EA,hotZone,Ring of Fire,GENE,1,0,0.0%
EA,hotZone,Ring of Fire,GLOWY,1,1,100.0%
EA,hotZone,Ring of Fire,GRIFF,3,1,33.3%
